Name	Url	Description	DataTypes	DefaultTask	AttributeTypes	NumberOfInstances	NumberOfAttributes	Year	Category
Simulated Falls and Daily Living Activities Data Set	https://archive.ics.uci.edu/ml/datasets/Simulated+Falls+and+Daily+Living+Activities+Data+Set	20 falls and 16 daily living activities were performed by 17 volunteers with 5 repetitions while wearing 6 sensors (3.060 instances) that attached to their head, chest, waist, wrist, thigh and ankle.	Time-Series 	Classification 	Integer 	3060 	138 	2018 	Life
Multimodal Damage Identification for Humanitarian Computing	https://archive.ics.uci.edu/ml/datasets/Multimodal+Damage+Identification+for+Humanitarian+Computing	5879 captioned images (image and text) from social media related to damage during natural disasters/wars, and belong to 6 classes: Fires, Floods, Natural landscape, Infrastructural, Human, Non-damage.	Multivariate, Text 	Classification 	Integer 	5879 		2018 	Social
EEG Steady-State Visual Evoked Potential Signals	https://archive.ics.uci.edu/ml/datasets/EEG+Steady-State+Visual+Evoked+Potential+Signals	This database consists on 30 subjects performing Brain Computer Interface for Steady State Visual Evoked Potentials (BCI-SSVEP).	Multivariate, Time-Series 	Classification, Regression 	Integer 	9200 	16 	2018 	Life
Roman Urdu Data Set	https://archive.ics.uci.edu/ml/datasets/Roman+Urdu+Data+Set	Roman Urdu (the scripting style for Urdu language) is one of the limited resource languages.A data corpus comprising of more than 20000 records was collected.	Text 	Classification 		20000 	2 	2018 	Computer
Avila	https://archive.ics.uci.edu/ml/datasets/Avila	The Avila data set has been extracted from 800 images of the 'Avila Bible', an XII century giant Latin copy of the Bible. The prediction task consists in associating each pattern to a copyist.	Multivariate 	Classification 	Real 	20867 	10 	2018 	Computer
PANDOR	https://archive.ics.uci.edu/ml/datasets/PANDOR	PANDOR is a novel and publicly available dataset for online recommendation provided by Purch (http://www.purch.com/).	Multivariate 	Recommendation 	Categorical 			2018 	Life
Drug Review Dataset (Druglib.com)	https://archive.ics.uci.edu/ml/datasets/Drug+Review+Dataset+%28Druglib.com%29	The dataset provides patient reviews on specific drugs along with related conditions. Reviews and ratings are grouped into reports on the three aspects benefits, side effects and overall comment.	Multivariate, Text 	Classification, Regression, Clustering 	Integer 	4143 	8 	2018 	
Drug Review Dataset (Drugs.com)	https://archive.ics.uci.edu/ml/datasets/Drug+Review+Dataset+%28Drugs.com%29	The dataset provides patient reviews on specific drugs along with related conditions and a 10 star patient rating reflecting overall patient satisfaction.	Multivariate, Text 	Classification, Regression, Clustering 	Integer 	215063 	6 	2018 	Life
Physical Unclonable Functions	https://archive.ics.uci.edu/ml/datasets/Physical+Unclonable+Functions	The dataset is generated from Physical Unclonable Functions (PUFs) simulation, specifically XOR Arbiter PUFs. PUFs are used for authentication purposes. For more info, refer to our paper below.	Multivariate 	Classification 	Integer 	6000000 	129 	2018 	Computer
Superconductivty Data	https://archive.ics.uci.edu/ml/datasets/Superconductivty+Data	Two file s contain data on 21263 superconductors and their relevant features.	Multivariate 	Regression 	Real 	21263 	81 	2018 	Physical
WESAD (Wearable Stress and Affect Detection)	https://archive.ics.uci.edu/ml/datasets/WESAD+%28Wearable+Stress+and+Affect+Detection%29	WESAD (Wearable Stress and Affect Detection) contains data of 15 subjects during a stress-affect lab study, while wearing physiological and motion sensors.	Multivariate, Time-Series 	Classification, Regression 	Real 	63000000 	12 	2018 	Computer
GNFUV Unmanned Surface Vehicles Sensor Data Set 2	https://archive.ics.uci.edu/ml/datasets/GNFUV+Unmanned+Surface+Vehicles+Sensor+Data+Set+2	The data-set contains eight (2x4) data-sets of mobile sensor readings data (humidity, temperature) corresponding to a swarm of four Unmanned Surface Vehicles (USVs) in a test-bed, Athens, Greece.	Multivariate, Sequential, Time-Series 	Regression 	Real 	10190 	6 	2018 	Computer
Student Academics Performance	https://archive.ics.uci.edu/ml/datasets/Student+Academics+Performance	The dataset tried to find the end semester percentage prediction based on different social, economic and academic attributes.	Multivariate 	Classification 		300 	22 	2018 	Computer
Online Shoppers Purchasing Intention Dataset	https://archive.ics.uci.edu/ml/datasets/Online+Shoppers+Purchasing+Intention+Dataset	Of the 12,330 sessions in the dataset, 84.5% (10,422) were negative class samples that did not end with shopping, and the rest (1908) were positive class samples ending with shopping.	Multivariate 	Classification, Clustering 	Integer, Real 	12330 	18 	2018 	Business
PMU-UD	https://archive.ics.uci.edu/ml/datasets/PMU-UD	The handwritten dataset was collected from 170 participants with a total of 5,180 numeral patterns. The dataset is named Prince Mohammad Bin Fahd University - Urdu/Arabic Database (PMU-UD).	Univariate 	Classification 		5180 	9 	2018 	Computer
Parkinson's Disease Classification	https://archive.ics.uci.edu/ml/datasets/Parkinson%27s+Disease+Classification	The data used in this study were gathered from 188 patients with PD (107 men and 81 women) with ages ranging from 33 to 87 (65.1Â±10.9).	Multivariate 	Classification 	Integer, Real 	756 	754 	2018 	Computer
Electrical Grid Stability Simulated Data	https://archive.ics.uci.edu/ml/datasets/Electrical+Grid+Stability+Simulated+Data+	The local stability analysis of the 4-node star system (electricity producer is in the center) implementing Decentral Smart Grid Control concept.	Multivariate 	Classification, Regression 	Real 	10000 	14 	2018 	Physical
Caesarian Section Classification Dataset	https://archive.ics.uci.edu/ml/datasets/Caesarian+Section+Classification+Dataset	This dataset contains information about caesarian section results of 80 pregnant women with the most important characteristics of delivery problems in the medical field.	Univariate 	Classification 	Integer 	80 	5 	2018 	Life
BAUM-1	https://archive.ics.uci.edu/ml/datasets/BAUM-1	BAUM-1 dataset contains 1184 multimodal facial video clips collected from 31 subjects. The 1184 video clips contain spontaneous facial expressions and speech of 13 emotional and mental states.	Time-Series 	Classification 		1184 		2018 	Computer
BAUM-2	https://archive.ics.uci.edu/ml/datasets/BAUM-2	A multilingual audio-visual affective face database consisting of 1047 video clips of 286 subjects.	Time-Series 	Classification 		1047 		2018 	Computer
Audit Data	https://archive.ics.uci.edu/ml/datasets/Audit+Data	Exhaustive one year non-confidential data in the year 2015 to 2016 of firms is collected from the Auditor Office of India to build a predictor for classifying suspicious firms.	Multivariate 	Classification 	Real 	777 	18 	2018 	Other
BuddyMove Data Set	https://archive.ics.uci.edu/ml/datasets/BuddyMove+Data+Set	User interest information extracted from user reviews published in holidayiq.com about various types of point of interests in South India	Multivariate, Text 	Classification, Clustering 	Real 	249 	7 	2018 	Other
Real estate valuation data set	https://archive.ics.uci.edu/ml/datasets/Real+estate+valuation+data+set	The â€œreal estate valuationâ€ is a regression problem. The market historical data set of real estate valuation are collected from Sindian Dist., New Taipei City, Taiwan.	Multivariate 	Regression 	Integer, Real 	414 	7 	2018 	Business
Early biomarkers of Parkinsonâ€™s disease based on natural connected speech Data Set	https://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%E2%80%99s+disease+based+on+natural+connected+speech+Data+Set+	.	Multivariate 	Classification 	Real 			2018 	Life
Somerville Happiness Survey	https://archive.ics.uci.edu/ml/datasets/Somerville+Happiness+Survey	A data extract of a non-federal dataset posted here https://catalog.data.gov/dataset/somerville-happiness-survey-responses-2011-2013-2015		Classification 	Integer 	143 	7 	2018 	Life
2.4 GHZ Indoor Channel Measurements	https://archive.ics.uci.edu/ml/datasets/2.4+GHZ+Indoor+Channel+Measurements	Measurement of the S21,consists of 10 sweeps, each sweep contains 601 frequency points with spacing of 0.167MHz to cover a 100MHz band centered at 2.4GHz.	Multivariate 	Classification 	Real 	7840 	5 	2018 	Computer
EMG data for gestures	https://archive.ics.uci.edu/ml/datasets/EMG+data+for+gestures	These are files of raw EMG data recorded by MYO Thalmic bracelet	Time-Series 	Classification 	Real 	30000 	6 	2019 	Life
Parking Birmingham	https://archive.ics.uci.edu/ml/datasets/Parking+Birmingham	Data collected from car parks in Birmingham that are operated by NCP from Birmingham City Council. UK Open Government Licence (OGL). https://data.birmingham.gov.uk/dataset/birmingham-parking	Multivariate, Univariate, Sequential, Time-Series 	Classification, Regression, Clustering 	Real 	35717 	4 	2019 	Computer
Behavior of the urban traffic of the city of Sao Paulo in Brazil	https://archive.ics.uci.edu/ml/datasets/Behavior+of+the+urban+traffic+of+the+city+of+Sao+Paulo+in+Brazil	The database was created with records of behavior of the urban traffic of the city of Sao Paulo in Brazil.	Multivariate, Time-Series 	Classification, Regression 	Integer, Real 	135 	18 	2018 	Computer
Travel Reviews	https://archive.ics.uci.edu/ml/datasets/Travel+Reviews	Reviews on destinations in 10 categories mentioned across East Asia. Each traveler rating is mapped as Excellent(4), Very Good(3), Average(2), Poor(1), and Terrible(0) and average rating is used.	Multivariate, Text 	Classification, Clustering 	Real 	980 	11 	2018 	Other
Tarvel Review Ratings	https://archive.ics.uci.edu/ml/datasets/Tarvel+Review+Ratings	Google reviews on attractions from 24 categories across Europe are considered. Google user rating ranges from 1 to 5 and average user rating per category is calculated.	Multivariate, Text 	Classification, Clustering 	Real 	5456 	25 	2018 	Other
Rice Leaf Diseases	https://archive.ics.uci.edu/ml/datasets/Rice+Leaf+Diseases	There are three classes/diseases: Bacterial leaf blight, Brown spot, and Leaf smut, each having 40 images. The format of all images is jpg.	Multivariate 	Classification 	Integer 	120 		2019 	Computer
Gas sensor array temperature modulation	https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+temperature+modulation	A chemical detection platform composed of 14 temperature-modulated metal oxide (MOX) gas sensors was exposed during 3 weeks to mixtures of carbon monoxide and humid synthetic air in a gas chamber.	Multivariate, Time-Series 	Classification, Regression 	Real 	4095000 	20 	2019 	Computer
Facebook Live Sellers in Thailand	https://archive.ics.uci.edu/ml/datasets/Facebook+Live+Sellers+in+Thailand	Facebook pages of 10 Thai fashion and cosmetics retail sellers. Posts of a different nature (video, photos, statuses, and links). Engagement metrics consist of comments, shares, and reactions.	Multivariate 	Clustering 	Integer 	7051 	12 	2019 	Business
Parkinson Dataset with replicated acoustic features	https://archive.ics.uci.edu/ml/datasets/Parkinson+Dataset+with+replicated+acoustic+features+	Contains acoustic features extracted from 3 voice recording replications of the sustained /a/ phonation for each one of the 80 subjects (40 of them with Parkinson's Disease).	Multivariate 	Classification 		240 	46 	2019 	Life
Labeled Text Forum Threads Dataset	https://archive.ics.uci.edu/ml/datasets/Labeled+Text+Forum+Threads+Dataset	The dataset is a collection of text forum threads with class labels reflects the reply quality to the Initial-Post, 3 for complete relevant, 2 for partially relevant, and 1 for irrelevant	Text 	Classification 	Integer 	200 	9 	2019 	Computer
Metro Interstate Traffic Volume	https://archive.ics.uci.edu/ml/datasets/Metro+Interstate+Traffic+Volume	Hourly Minneapolis-St Paul, MN traffic volume for westbound I-94. Includes weather and holiday features from 2012-2018.	Multivariate, Sequential, Time-Series 	Regression 	Integer, Real 	48204 	9 	2019 	Other
